route_id,agency_id,route_short_name,Type,avg_co2_per_vehicle_per_km,avg_passenger_count,route_long_name,route_desc,route_type,route_url
2125,HSL,125,A-bus,1100,11,Tapiola (M)-Niittykumpu (M)-Olari-Nöykkiö-Espoonlahti (M),,701,http://aikataulut.hsl.fi/linjat/fi/b125.html
2125N,HSL,125N,A-bus,1100,11,Kamppi-Tapiola (M)-Niittykumpu (M)-Olari- Latokaski,,701,http://aikataulut.hsl.fi/linjat/fi/b125N.html
2133,HSL,133,A-bus,1100,11,Friisilä-Matinkylä (M)-Henttaa,,701,http://aikataulut.hsl.fi/linjat/fi/b133.html
2134N,HSL,134N,C-bus,1300,14,Kamppi-Niittykumpu (M)-Espoon keskus-Suvela-Tuomarila,,701,http://aikataulut.hsl.fi/linjat/fi/b134N.html
2137,HSL,137,M-bus,230,1.5,Matinkylä (M)-Matinkallio-Piispankylä-Kuitinmäki,,704,http://aikataulut.hsl.fi/linjat/fi/b137.html
2138,HSL,138,M-bus,230,1.5,Matinkylä (M)-Nuottaniemi-Matinkallio,,704,http://aikataulut.hsl.fi/linjat/fi/b138.html
2146N,HSL,146N,C-bus,1300,14,Kamppi-Kivenlahti-Saunalahti,,701,http://aikataulut.hsl.fi/linjat/fi/b146N.html
2147N,HSL,147N,C-bus,1300,14,Kamppi-Kivenlahti,,701,http://aikataulut.hsl.fi/linjat/fi/b147N.html
2148,HSL,148,M-bus,230,1.5,Espoonlahden keskus-Soukka-Iivisniemi,,704,http://aikataulut.hsl.fi/linjat/fi/b148.html
2149,HSL,149,M-bus,230,1.5,Espoonlahden keskus-Kivenlahti,,704,http://aikataulut.hsl.fi/linjat/fi/b149.html
2158,HSL,158,A-bus,1100,11,Matinkylä (M)-Nöykkiö-Tillinmäki-Espoonlahti (M),,701,http://aikataulut.hsl.fi/linjat/fi/b158.html
2159,HSL,159,A-bus,1100,11,Matinkylä (M)-Latokaski,,701,http://aikataulut.hsl.fi/linjat/fi/b159.html
2162,HSL,162,A-bus,1100,11,Espoonlahti (M)-Kivenlahti (M)-Saunalahti-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b162.html
2163,HSL,163,A-bus,1100,11,Suvisaaristo-Espoonlahti (M)-Saunalahti-Kurttila-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b163.html
2164,HSL,164,C-bus,1300,14,Kamppi-Saunalahti-Kurttila,,701,http://aikataulut.hsl.fi/linjat/fi/b164.html
2164K,HSL,164K,C-bus,1300,14,Kamppi-Saunalahti-Tillinmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b164K.html
2165,HSL,165,C-bus,1300,14,Espoonlahti (M)-Kivenlahti (M)-Saunalahti-Kauklahti-Vanttila,,701,http://aikataulut.hsl.fi/linjat/fi/b165.html
2165N,HSL,165N,A-bus,1100,11,Kamppi-Saunalahti-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b165N.html
2166,HSL,166,A-bus,1100,11,Lasilaakso-Kauklahti-Bassenkylä,,701,http://aikataulut.hsl.fi/linjat/fi/e166b.html
2166K,HSL,166K,M-bus,230,1.5,Lasilaakso-Kauklahti-Bassenkylä,,701,http://aikataulut.hsl.fi/linjat/fi/e166b.html
2167,HSL,167,M-bus,230,1.5,Lasilaakso-Kauklahti-Järvikylä,,701,http://aikataulut.hsl.fi/linjat/fi/b167.html
2168,HSL,168,M-bus,230,1.5,Espoon keskus-Mikkelä-Kauklahti,,704,http://aikataulut.hsl.fi/linjat/fi/b168.html
2169,HSL,169,M-bus,230,1.5,Espoon keskus-Suvela,,704,http://aikataulut.hsl.fi/linjat/fi/b169.html
2200,HSL,200,C-bus,1300,14,Elielinaukio-Leppävaara-Espoon keskus,,702,http://aikataulut.hsl.fi/linjat/fi/b200.html
2201,HSL,201,M-bus,230,1.5,Leppävaara-Mäkkylä-Pitäjänmäki- Pajamäki,,704,http://aikataulut.hsl.fi/linjat/fi/b201.html
2201B,HSL,201B,A-bus,550,11,Leppävaara-Mäkkylä-Pitäjänmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b201b.html
2202,HSL,202,A-bus,550,11,Vermonniitty-Leppävaara-Helmipöllönmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b202.html
2203,HSL,203,A-bus,550,11,Leppävaara-Uusmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b203.html
2206,HSL,206,A-bus,550,11,Leppävaara-Kera,,701,http://aikataulut.hsl.fi/linjat/fi/b206.html
2206K,HSL,206K,A-bus,550,11,Leppävaara-Kilo-Kera,,701,http://aikataulut.hsl.fi/linjat/fi/b206K.html
